codcondom,codbloco,codblocobase,descricao,qtdeconomias,tipolograd,lograd,numero,bairro,cidade,uf,cep8_log,ativo,tipo_bloco
3109,ADT,UNC,ADIANTAMENTO,0,,,,,,,,S,Financeiro
3109,FR,UNC,FUNDO RESERVA,0,,,,,,,,S,Financeiro
3109,OU1,UNC,FUNDO OBRAS LOJAS,0,,,,,,,,S,Financeiro
3109,OU2,UNC,FDO OBRAS,0,,,,,,,,S,Financeiro
3109,OU5,UNC,13º SALÁRIOS FUNC,0,,,,,,,,S,Financeiro
3109,OU3,UNC,MODERNIZACAO ELEVADORES,0,,,,,,,,S,Financeiro
3109,OU4,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
3109,UNC,UNC,ACROPOLE,32,R,DR. FLORES,323.0,CENTRO,PORTO ALEGRE,RS,90020123.0,S,Físico
4334,FR,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
4334,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
4334,UNC,UNC,RIO PARANA,8,R,HUGO RIBEIRO,118.0,MENINO DEUS,PORTO ALEGRE,RS,90150080.0,S,Físico
5003,OU4,UNC,FUNDO DE OBRAS,0,,,,,,,,S,Financeiro
5003,OU5,,TELHADO SALAO DE FESTAS,0,,,,,,,,S,Financeiro
5003,OU6,,PINTURA E TELHADO CASAS,0,,,,,,,,S,Financeiro
5003,OU3,UNC,FUNDO DE PINTURA,0,,,,,,,,N,Financeiro
5003,OU1,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
5003,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5003,OU2,UNC,REGULARIZACAO CNPJ,0,,,,,,,,S,Financeiro
5003,UNC,,PRINCIPAL,21,R,AMAPA,2060.0,NOVA TRAMANDAI,TRAMANDAI,RS,95590000.0,S,Físico
5089,OU2,UNC,FUNDO DE PINTURA,0,,,,,,,,S,Financeiro
5089,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5089,OU1,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
5089,OU3,,FUNDO REFORMA CALÇADA,0,R,VOLUNTARIOS DA PATRIA,441.0,PATRIA NOVA,NOVO HAMBURGO,RS,93410090.0,S,Físico
5089,0U4,UNC,FUNDO REFORMA CALCADA,0,,,,,,,,S,Financeiro
5089,UNC,,PRINCIPAL,92,R,VOLUNTARIOS DA PATRIA,441.0,PATRIA NOVA,NOVO HAMBURGO,RS,93410090.0,S,Físico
5116,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5116,OU1,UNC,FUNDO OBRAS,0,,,,,,,,S,Financeiro
5116,UNC,,PRINCIPAL,8,R,"CANABARRO, GENERAL",392.0,CENTRO,PORTO ALEGRE,RS,90010160.0,S,Físico
5132,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5132,OU1,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
5132,OU3,UNC,FDO OBRAS - REC PASTILHAS,0,,,,,,,,S,Financeiro
5132,OU2,UNC,FUNDO DE OBRAS,0,,,,,,,,S,Financeiro
5132,UNC,,PRINCIPAL,8,R,"SANTO ANGELO, BARAO DE",355.0,MOINHOS DE VENTO,PORTO ALEGRE,RS,90570090.0,S,Físico
5329,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5329,OU1,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
5329,UNC,,PRINCIPAL,14,R,"TAUPHICK SAADI, DOUTOR",214.0,BELA VISTA,PORTO ALEGRE,RS,90470040.0,S,Físico
5396,OU1,UNC,FUNDO RESERVA,0,,,,,,,,S,Financeiro
5396,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5396,UNC,,PRINCIPAL,9,R,FATIMA,284.0,PARTENON,PORTO ALEGRE,RS,90620250.0,S,Físico
5807,OU8,,FUNDO GAS,0,,,,,,,,S,Financeiro
5807,OU9,,FUNDO AGUA.,0,,,,,,,,S,Financeiro
5807,ADT,PRI,REEMBOLSO,0,,,,,,,,S,Financeiro
5807,OU1,PRI,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
5807,OU2,PRI,SALAO DE FESTAS,0,,,,,,,,S,Financeiro
5807,OU3,PRI,FUNDO SISTEMA DE ACESSO,0,,,,,,,,N,Financeiro
5807,OU4,PRI,FUNDO PROT. AR COND,0,,,,,,,,N,Financeiro
5807,OU5,PRI,ADIANTAMENTO,0,,,,,,,,S,Financeiro
5807,OU6,PRI,SMARKET MERCADO,0,,,,,,,,S,Financeiro
5807,OU7,PRI,FDO. NEG.PORTARIA,0,,,,,,,,S,Financeiro
5807,O10,,FUNDO DE MANUTENCAO,0,,,,,,,,S,Financeiro
5807,LJ,,LOJAS,3,R,"APARICIO BORGES, CORONEL",1123.0,GLORIA,PORTO ALEGRE,RS,90680570.0,S,Físico
5807,A,,BLOCO A,105,R,CORONEL APARICIO BORGES,1123.0,GLORIA,PORTO ALEGRE,RS,90680595.0,S,Físico
5807,B,,BLOCO B,79,R,CORONEL APARICIO BORGES,1123.0,GLORIA,PORTO ALEGRE,RS,90680595.0,S,Físico
5807,BOX,,BOXES,178,R,"APARICIO BORGES, CORONEL",1123.0,GLORIA,PORTO ALEGRE,RS,90680570.0,S,Físico
5807,PRI,,PRINCIPAL,0,R,CORONEL APARICIO BORGES,1123.0,GLORIA,PORTO ALEGRE,RS,90680595.0,S,Físico
5819,OU1,UNC,FUNDO RESERVA,0,,,,,,,,S,Financeiro
5819,OU2,UNC,GÁS,0,,,,,,,,S,Financeiro
5819,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5819,OU3,,PINTURA INTERNA,0,,,,,,,,S,Financeiro
5819,UNC,,PRINCIPAL,28,R,OTAVIO CORREA,60.0,CIDADE BAIXA,PORTO ALEGRE,RS,90050120.0,S,Físico
5878,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5878,OU1,UNC,FUNDO DE OBRAS,0,,,,,,,,S,Financeiro
5878,OU2,,ACADEMIA,0,,,,,,,,S,Financeiro
5878,UNC,,PRINCIPAL,12,R,FELIPE DE OLIVEIRA,754.0,PETROPOLIS,PORTO ALEGRE,RS,90630000.0,S,Físico
5949,OU1,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
5949,OU3,UNC,FUNDO REVITALIZACAO,0,,,,,,,,S,Financeiro
5949,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
5949,UNC,,PRINCIPAL,14,R,SAO LUIZ,340.0,SANTANA,PORTO ALEGRE,RS,90620170.0,S,Físico
6062,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
6062,OU2,,SALAO DE FESTAS,0,,,,,,,,N,Financeiro
6062,OU3,,FUNDO OBRAS,0,,,,,,,,N,Financeiro
6062,OU1,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
